"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_grassfed"
"11/11/2023 08:47:19:517 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"11","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75826800","75826800","75826800","75826800","0","431003.47262693767","20260.32504524361","0","74309.33976361093","0","3313310.895979499","1656655.4479897495","1656655.4479897495","2342864.6027263794","0","0","0","0","-9026722.558738202","-9026722.558738202","-9026722.558738202","-9026722.558738202","0","1","0.4817375886524832","0.45","0.2590596777971383","0","1","0.4817375886524832","0.45","0.2590596777971383","0","0","0","0","0","0","0","9.639102816000001E8","9.72172369728E7","1.4741546399999999E7","1299440.0159999998"
"12","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","74535600","74535600","74535600","74535600","0","1741199.9368556074","21194.6557670445","0","121747.86430030999","0","3625277.101944319","1812638.5509721595","1812638.5509721595","2563458.022465143","0","0","0","0","-9602170.028250868","-9602170.028250868","-9602170.028250868","-9602170.028250868","0","1","0.4904255319148947","0.45","0.27006094564670935","0","1","0.4904255319148947","0.45","0.27006094564670935","0","0","0","0","0","0","0","9.474965471999999E8","9.55617946176E7","1.5949936799999999E7","1405957.392"
"13","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","77574000","77574000","77574000","77574000","0","393083.88300127693","19810.016766634257","0","75783.46937542375","0","3176852.0602685157","1588426.0301342579","1588426.0301342579","2246373.634642322","0","0","0","0","-8763276.788459376","-8763276.788459376","-8763276.788459376","-8763276.788459376","0","1","0.5051418439716321","0.45","0.24841163981989897","0","1","0.5051418439716321","0.45","0.24841163981989897","0","0","0","0","0","0","0","986120688","9.945731510399999E7","1.44680256E7","1275329.6639999999"
"14","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","74847600","74847600","74847600","74847600","0","533373.440337702","19645.721581948033","0","69616.79032271035","0","3309812.01825229","1654906.009126145","1654906.009126145","2340390.522558927","0","0","0","0","-8849905.504361637","-8849905.504361637","-8849905.504361637","-8849905.504361637","0","1","0.49113475177305044","0.45","0.26178851641915396","0","1","0.49113475177305044","0.45","0.26178851641915396","0","0","0","0","0","0","0","9.514626911999999E8","9.596180856959999E7","1.44231192E7","1271371.248"
"15","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","72681600","72681600","72681600","72681600","0","546833.6150447909","19126.08775480747","0","66562.7327190847","0","3402502.9761284017","1701251.4880642009","1701251.4880642009","2405932.9274278027","0","0","0","0","-8796059.722984107","-8796059.722984107","-8796059.722984107","-8796059.722984107","0","1","0.5173758865248237","0.45","0.2660496445527585","0","1","0.5173758865248237","0.45","0.2660496445527585","0","0","0","0","0","0","0","9.239284992E8","9.31847886336E7","1.41822576E7","1250139.744"
"16","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","76880400","76880400","76880400","76880400","0","421430.5924759504","19648.25305219665","0","72600.62626167506","0","3331318.8289255183","1665659.4144627592","1665659.4144627592","2355598.1342276623","0","0","0","0","-8872126.189644977","-8872126.189644977","-8872126.189644977","-8872126.189644977","0","1","0.4991134751773061","0.45","0.26117227082730304","0","1","0.4991134751773061","0.45","0.26117227082730304","0","0","0","0","0","0","0","9.773036448000001E8","9.85680533184E7","1.43210592E7","1262374.848"
"17","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","78650400","78650400","78650400","78650400","0","1039862.7182195889","21311.993142943968","0","89160.45394407843","0","3548783.574426657","1774391.7872133285","1774391.7872133285","2509368.930440524","0","0","0","0","-9558765.640736856","-9558765.640736856","-9558765.640736856","-9558765.640736856","0","1","0.5062056737588659","0.45","0.2816236608905369","0","1","0.5062056737588659","0.45","0.2816236608905369","0","0","0","0","0","0","0","9.998038848000001E8","1.008373632384E8","1.5802970399999999E7","1393002.576"
"18","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","73759200","73759200","73759200","73759200","0","383114.48815907585","19520.749596022168","0","71862.63002389416","0","3358745.92269256","1679372.96134628","1679372.96134628","2374992.018218577","0","0","0","0","-8863597.308770813","-8863597.308770813","-8863597.308770813","-8863597.308770813","0","1","0.5131205673758877","0.45","0.2666949014607464","0","1","0.5131205673758877","0.45","0.2666949014607464","0","0","0","0","0","0","0","9.376269504E8","9.45663752832E7","14349636","1264893.8399999999"
"19","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75536400","75536400","75536400","75536400","0","814269.5852553078","20387.43282488326","0","89041.4633534653","0","3307015.8651483017","1653507.9325741509","1653507.9325741509","2338413.343737861","0","0","0","0","-9056271.921765383","-9056271.921765383","-9056271.921765383","-9056271.921765383","0","1","0.48138297872340535","0.45","0.22961177693624873","0","1","0.48138297872340535","0.45","0.22961177693624873","0","0","0","0","0","0","0","9.602187168000001E8","9.684491629439999E7","1.4721134399999999E7","1297640.736"
"20","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","80019600","80019600","80019600","80019600","0","718432.7329387486","19770.927080709742","0","87715.70860726984","0","3169319.2521222886","1584659.6260611443","1584659.6260611443","2241047.1349207475","0","0","0","0","-8744720.688882437","-8744720.688882437","-8744720.688882437","-8744720.688882437","0","1","0.4813829787234052","0.45","0.25368992645349203","0","1","0.4813829787234052","0.45","0.25368992645349203","0","0","0","0","0","0","0","1.0172091551999999E9","1.025928090816E8","14288400","1259496"
