"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_baseline"
"11/10/2023 14:55:06:382 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"11","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","77754000","77754000","77754000","77754000","0","251481.14485558658","11554.198914295215","0","44110.73390081732","0","1164195.0731568297","582097.5365784148","582097.5365784148","823210.230853163","757543.1858153587","757543.1858153587","757543.1858153587","757543.1858153587","-5180022.35280344","-5180022.35280344","-5180022.35280344","-5180022.35280344","0","1","0.4900709219858171","0.45","0.2520181783363224","0","1","0.4900709219858171","0.45","0.2520181783363224","0","0","0","0","0","0","0","988408848","9.968809238399999E7","1.6428182399999999E7","1262470.1039999998"
"12","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","78085200","78085200","78085200","78085200","0","349864.23907490366","11365.58368994162","0","46330.414422621245","0","1139293.5448005344","569646.7724002672","569646.7724002672","805602.1912905176","854780.0854539911","854780.0854539911","854780.0854539911","854780.0854539911","-5199168.230818064","-5199168.230818064","-5199168.230818064","-5199168.230818064","0","1","0.47500000000000125","0.45","0.2372458370311521","0","1","0.47500000000000125","0.45","0.2372458370311521","0","0","0","0","0","0","0","9.926190624000001E8","1.0011272257920001E8","1.6251983999999998E7","1248929.64"
"13","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","79045200","79045200","79045200","79045200","0","276441.2311668767","11171.572580617762","0","44856.85855759283","0","1451714.1393650896","725857.0696825448","725857.0696825448","1026516.9122894475","548240.2602197756","548240.2602197756","548240.2602197756","548240.2602197756","-5150337.867319074","-5150337.867319074","-5150337.867319074","-5150337.867319074","0","1","0.48510638297872455","0.45","0.25163130974606834","0","1","0.48510638297872455","0.45","0.25163130974606834","0","0","0","0","0","0","0","1.0048225824000001E9","1.0134353473920001E8","1.6173158399999999E7","1242872.064"
"14","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","78277200","78277200","78277200","78277200","0","343509.31704960816","11343.993239346935","0","49459.37345646887","0","1320656.3935845704","660328.1967922852","660328.1967922852","933845.0915210198","750348.6460151385","750348.6460151385","750348.6460151385","750348.6460151385","-5270011.133095544","-5270011.133095544","-5270011.133095544","-5270011.133095544","0","1","0.5033687943262422","0.45","0.24523428877155093","0","1","0.5033687943262422","0.45","0.24523428877155093","0","0","0","0","0","0","0","9.950597664000001E8","1.0035888501120001E8","1.63632672E7","1257481.5119999999"
"15","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","77139600","77139600","77139600","77139600","0","758708.671724768","12872.678937321543","0","65220.81299553867","0","1340873.5007278284","670436.7503639142","670436.7503639142","948140.7450779926","977462.0185278631","977462.0185278631","977462.0185278631","977462.0185278631","-5948430.979580368","-5948430.979580368","-5948430.979580368","-5948430.979580368","0","1","0.5218085106382987","0.45","0.26860240404277924","0","1","0.5218085106382987","0.45","0.26860240404277924","0","0","0","0","0","0","0","9.805985951999999E8","9.890037260159999E7","1.80974304E7","1390748.184"
"16","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","80252400","80252400","80252400","80252400","0","301248.5538075874","11087.868348982804","0","42064.1398119506","0","1395746.0698046884","697873.0349023442","697873.0349023442","986941.5107733675","747253.2225388899","747253.2225388899","747253.2225388899","747253.2225388899","-5269778.166756728","-5269778.166756728","-5269778.166756728","-5269778.166756728","0","1","0.5234042553191499","0.45","0.27834367703273843","0","1","0.5234042553191499","0.45","0.27834367703273843","0","0","0","0","0","0","0","1.0201685088000001E9","1.028912810304E8","1.6358630399999999E7","1257125.184"
"17","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","79018800","79018800","79018800","79018800","0","243863.65333615453","11037.384475060559","0","42223.245696490274","0","1437027.0389823033","718513.5194911517","718513.5194911517","1016131.5640128119","588860.7183695817","588860.7183695817","588860.7183695817","588860.7183695817","-5138430.179318962","-5138430.179318962","-5138430.179318962","-5138430.179318962","0","1","0.4785460992907811","0.45","0.2608684094496443","0","1","0.4785460992907811","0.45","0.2608684094496443","0","0","0","0","0","0","0","1.0044869856000001E9","1.013096874048E8","1.64096352E7","1261044.792"
"18","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","74365200","74365200","74365200","74365200","0","281214.2765088524","11810.872989557396","0","44440.0951168501","0","1318500.2765050994","659250.1382525497","659250.1382525497","932320.4865130937","774775.7208122651","774775.7208122651","774775.7208122651","774775.7208122651","-5423942.18037255","-5423942.18037255","-5423942.18037255","-5423942.18037255","0","1","0.5037234042553203","0.45","0.26453202098507517","0","1","0.5037234042553203","0.45","0.26453202098507517","0","0","0","0","0","0","0","9.453304224000001E8","9.534332545920001E7","1.6372540799999999E7","1258194.1679999998"
"19","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","76882800","76882800","76882800","76882800","0","389515.34955760994","11742.128717654","0","49673.49930210713","0","1375086.979740299","687543.4898701495","687543.4898701495","972333.3280956942","755942.3843105712","755942.3843105712","755942.3843105712","755942.3843105712","-5442309.662429296","-5442309.662429296","-5442309.662429296","-5442309.662429296","0","1","0.5031914893617032","0.45","0.25576712926272804","0","1","0.5031914893617032","0.45","0.25576712926272804","0","0","0","0","0","0","0","9.773341536000001E8","9.85711303488E7","1.6465276799999999E7","1265320.728"
"20","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","79724400","79724400","79724400","79724400","0","293992.35003505816","11436.975893914945","0","42731.23123004854","0","1532802.2035355945","766401.1017677973","766401.1017677973","1083854.8323377015","690171.2798594441","690171.2798594441","690171.2798594441","690171.2798594441","-5448200.685479053","-5448200.685479053","-5448200.685479053","-5448200.685479053","0","1","0.5088652482269512","0.45","0.24565865331422568","0","1","0.5088652482269512","0.45","0.24565865331422568","0","0","0","0","0","0","0","1.0134565728000001E9","1.022143343424E8","1.6604380799999999E7","1276010.568"
