"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_animal-welfare"
"11/12/2023 12:03:37:204 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"11","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","76545600","76545600","76545600","76545600","0","366106.07404981914","17056.633509299198","0","65714.91978698925","0","3181547.532829159","1590773.7664145795","1590773.7664145795","2249693.8351308284","0","0","0","0","-7991518.18245153","-7991518.18245153","-7991518.18245153","-7991518.18245153","0","1","0.49840425531915006","0.45","0.25959715516767834","0","1","0.49840425531915006","0.45","0.25959715516767834","0","0","0","0","0","0","0","9.730476671999999E8","9.813880757759999E7","1.4337388799999999E7","1263814.2719999999"
"12","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","78193200","78193200","78193200","78193200","0","441199.05538072134","16812.772760863812","0","69346.58187384019","0","3244232.7387804734","1622116.3693902367","1622116.3693902367","2294018.969339078","0","0","0","0","-7985434.657344069","-7985434.657344069","-7985434.657344069","-7985434.657344069","0","1","0.5067375886524836","0.45","0.26062611841459554","0","1","0.5067375886524836","0.45","0.26062611841459554","0","0","0","0","0","0","0","9.939919584000001E8","1.002511889472E8","14247576","1255897.44"
"13","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","73831200","73831200","73831200","73831200","0","481215.63586035","17601.994640227917","0","71465.82005212377","0","3174398.5424379664","1587199.2712189832","1587199.2712189832","2244638.7355465787","0","0","0","0","-8138161.030982241","-8138161.030982241","-8138161.030982241","-8138161.030982241","0","1","0.5124113475177314","0.45","0.25415802159670264","0","1","0.5124113475177314","0.45","0.25415802159670264","0","0","0","0","0","0","0","9.385422144E8","9.46586861952E7","14431284","1272090.96"
"14","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","76461600","76461600","76461600","76461600","0","462540.566769139","17271.07495385332","0","65919.49882360651","0","3286655.684472583","1643327.8422362914","1643327.8422362914","2324016.5219158772","0","0","0","0","-8157098.821459219","-8157098.821459219","-8157098.821459219","-8157098.821459219","0","1","0.5163120567375898","0.45","0.2593446746728456","0","1","0.5163120567375898","0.45","0.2593446746728456","0","0","0","0","0","0","0","9.719798591999999E8","9.803111151359999E7","1.43414712E7","1264174.128"
"15","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","76485600","76485600","76485600","76485600","0","827205.991817633","17701.897912039305","0","76890.40205627677","0","3225320.568983685","1612660.2844918426","1612660.2844918426","2280646.0458288174","0","0","0","0","-8217255.7801787695","-8217255.7801787695","-8217255.7801787695","-8217255.7801787695","0","1","0.4890070921985824","0.45","0.23713084804687315","0","1","0.4890070921985824","0.45","0.23713084804687315","0","0","0","0","0","0","0","9.722849471999999E8","9.80618818176E7","1.47292992E7","1298360.4479999999"
"16","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","76905600","76905600","76905600","76905600","0","406981.1549170895","16960.306142524147","0","66982.27421746218","0","3202599.257784013","1601299.6288920066","1601299.6288920066","2264579.65260208","0","0","0","0","-7985405.589975824","-7985405.589975824","-7985405.589975824","-7985405.589975824","0","1","0.5104609929078028","0.45","0.26612843119329077","0","1","0.5104609929078028","0.45","0.26612843119329077","0","0","0","0","0","0","0","9.776239871999999E8","9.860036213759999E7","1.44476136E7","1273530.3839999998"
"17","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","78934800","78934800","78934800","78934800","0","348873.5619662818","17276.976767739216","0","64781.415052913464","0","3339694.5613861782","1669847.2806930891","1669847.2806930891","2361520.6714479993","0","0","0","0","-8211802.009888636","-8211802.009888636","-8211802.009888636","-8211802.009888636","0","1","0.49184397163120663","0.45","0.26143758830586666","0","1","0.49184397163120663","0.45","0.26143758830586666","0","0","0","0","0","0","0","1.0034191776000001E9","1.012019913408E8","1.43414712E7","1264174.128"
"18","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","79065600","79065600","79065600","79065600","0","480708.16130686284","17470.750550473294","0","71049.36037801663","0","3174114.1224449016","1587057.0612224508","1587057.0612224508","2244437.6202407773","0","0","0","0","-8100865.777678372","-8100865.777678372","-8100865.777678372","-8100865.777678372","0","1","0.4966312056737599","0.45","0.25330062909999995","0","1","0.4966312056737599","0.45","0.25330062909999995","0","0","0","0","0","0","0","1.0050819071999999E9","1.0136968949759999E8","1.43822952E7","1267772.6879999998"
"19","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","75092400","75092400","75092400","75092400","0","547259.5900096147","16987.930416533443","0","69017.1441233753","0","3289415.9925509915","1644707.9962754957","1644707.9962754957","2325968.354476284","0","0","0","0","-8080012.370013421","-8080012.370013421","-8080012.370013421","-8080012.370013421","0","1","0.5078014184397175","0.45","0.255772063223064","0","1","0.5078014184397175","0.45","0.255772063223064","0","0","0","0","0","0","0","9.545745888000001E8","9.62756656704E7","1.43006472E7","1260575.568"
"20","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","78466800","78466800","78466800","78466800","0","506235.75743025827","16976.612652992586","0","69470.3832210594","0","3335240.9098844565","1667620.4549422283","1667620.4549422283","2358371.46427009","0","0","0","0","-8122645.678028365","-8122645.678028365","-8122645.678028365","-8122645.678028365","0","1","0.5086879432624126","0.45","0.2624224307624736","0","1","0.5086879432624126","0.45","0.2624224307624736","0","0","0","0","0","0","0","9.974699616000001E8","1.006019704128E8","1.42189992E7","1253378.4479999999"
"21","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","77860800","77860800","77860800","77860800","0","528220.2944955954","17647.818155875877","0","69844.55963994065","0","3166764.4542195327","1583382.2271097663","1583382.2271097663","2239240.6199991475","0","0","0","0","-8143449.174176531","-8143449.174176531","-8143449.174176531","-8143449.174176531","0","1","0.5234042553191496","0.45","0.25425581812309317","0","1","0.5234042553191496","0.45","0.25425581812309317","0","0","0","0","0","0","0","9.897664896000001E8","9.98250202368E7","1.4316976799999999E7","1262014.9919999999"
"22","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","75144000","75144000","75144000","75144000","0","637657.2162429104","17613.192557676393","0","73042.70780635561","0","3186194.930874291","1593097.4654371454","1593097.4654371454","2252980.041803414","0","0","0","0","-8153115.232139036","-8153115.232139036","-8153115.232139036","-8153115.232139036","0","1","0.5053191489361714","0.45","0.2506008528740371","0","1","0.5053191489361714","0.45","0.2506008528740371","0","0","0","0","0","0","0","955230528","9.6341821824E7","1.4419036799999999E7","1271011.392"
"23","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","79977600","79977600","79977600","79977600","0","397391.61070470826","16773.270502700372","0","70019.78316063018","0","3359086.2358560925","1679543.1179280463","1679543.1179280463","2375232.6559642376","0","0","0","0","-8089148.517617598","-8089148.517617598","-8089148.517617598","-8089148.517617598","0","1","0.4819148936170226","0.45","0.2665701883725789","0","1","0.4819148936170226","0.45","0.2665701883725789","0","0","0","0","0","0","0","1.0166752511999999E9","1.0253896104959999E8","1.4133268799999999E7","1245821.4719999998"
"24","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","73230000","73230000","73230000","73230000","0","320592.3949710516","17731.717104072723","0","57625.12402598656","0","3236278.86961672","1618139.43480836","1618139.43480836","2288394.7345167175","0","0","0","0","-8236623.092965227","-8236623.092965227","-8236623.092965227","-8236623.092965227","0","1","0.5168439716312064","0.45","0.2685302764612226","0","1","0.5168439716312064","0.45","0.2685302764612226","0","0","0","0","0","0","0","930899760","9.388789008E7","1.46109096E7","1287924.6239999998"
"25","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","80002800","80002800","80002800","80002800","0","405288.968781321","17323.49751712399","0","65026.60752402716","0","3250841.990474166","1625420.995237083","1625420.995237083","2298692.4160302565","0","0","0","0","-8136068.290303132","-8136068.290303132","-8136068.290303132","-8136068.290303132","0","1","0.5157801418439728","0.45","0.2711992502587443","0","1","0.5157801418439728","0.45","0.2711992502587443","0","0","0","0","0","0","0","1.0169955936000001E9","1.025712698688E8","14329224","1263094.56"
"26","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","80462400","80462400","80462400","80462400","0","889249.1932877543","16919.092424745995","0","79824.9290100625","0","3148199.945971868","1574099.972985934","1574099.972985934","2226113.5303278305","0","0","0","0","-7919384.009750235","-7919384.009750235","-7919384.009750235","-7919384.009750235","0","1","0.49645390070922085","0.45","0.26485377622062456","0","1","0.49645390070922085","0.45","0.26485377622062456","0","0","0","0","0","0","0","1.0228380288000001E9","1.031605211904E8","1.43047296E7","1260935.4239999999"
