"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_colorado-source-id"
"11/12/2023 08:27:36:157 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"11","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","80541600","80541600","80541600","80541600","0","502113.9221564038","15059.579497853356","0","56176.088783849205","0","3377191.624582087","1688595.8122910436","1688595.8122910436","2388035.099108407","0","0","0","0","-7623993.042976733","-7623993.042976733","-7623993.042976733","-7623993.042976733","0","1","0.5024822695035469","0.45","0.269263278609695","0","1","0.5024822695035469","0.45","0.269263278609695","0","0","0","0","0","0","0","1.0238448191999999E9","1.0326206319359998E8","14227164","1254098.16"
"12","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","84079200","84079200","84079200","84079200","0","345409.9739414671","15774.285675696263","0","60010.29326161741","0","3291986.5734739676","1645993.2867369838","1645993.2867369838","2327786.029678509","0","0","0","0","-7740335.134020313","-7740335.134020313","-7740335.134020313","-7740335.134020313","0","1","0.5109929078014195","0.45","0.2643794990585986","0","1","0.5109929078014195","0.45","0.2643794990585986","0","0","0","0","0","0","0","1.0688147904000001E9","1.0779760600320001E8","1.4806864799999999E7","1305197.712"
"13","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","76599600","76599600","76599600","76599600","0","465340.1715970745","15096.398853961533","0","55326.50765149125","0","3358434.5970486403","1679217.2985243201","1679217.2985243201","2374771.877744604","0","0","0","0","-7615619.073865792","-7615619.073865792","-7615619.073865792","-7615619.073865792","0","1","0.5065602836879441","0.45","0.2587291929514884","0","1","0.5065602836879441","0.45","0.2587291929514884","0","0","0","0","0","0","0","9.737341151999999E8","9.820804076159999E7","1.4357800799999999E7","1265613.552"
"14","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","76742400","76742400","76742400","76742400","0","471366.65426576","15460.34419624528","0","68266.93344483407","0","3494340.70270864","1747170.35135432","1747170.35135432","2470872.006661445","0","0","0","0","-7854157.766049806","-7854157.766049806","-7854157.766049806","-7854157.766049806","0","1","0.45673758865248354","0.45","0.236087614033889","0","1","0.45673758865248354","0.45","0.236087614033889","0","0","0","0","0","0","0","9.755493888000001E8","9.83911240704E7","1.46068272E7","1287564.768"
"15","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","75102000","75102000","75102000","75102000","0","337779.0289000951","15404.567798451233","0","61536.94175304253","0","3150712.1748773903","1575356.0874386951","1575356.0874386951","2227889.9444228183","0","0","0","0","-7494800.294040639","-7494800.294040639","-7494800.294040639","-7494800.294040639","0","1","0.5136524822695044","0.45","0.24747793994403006","0","1","0.5136524822695044","0.45","0.24747793994403006","0","0","0","0","0","0","0","954696624","9.6287973792E7","1.44680256E7","1275329.6639999999"
"16","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","74206800","74206800","74206800","74206800","0","1308757.7308482486","16309.649402956538","0","90838.40585995218","0","3137469.2209160174","1568734.6104580087","1568734.6104580087","2218525.76187379","0","0","0","0","-7736790.3525497615","-7736790.3525497615","-7736790.3525497615","-7736790.3525497615","0","1","0.500886524822696","0.45","0.2686613604136987","0","1","0.500886524822696","0.45","0.2686613604136987","0","0","0","0","0","0","0","9.433168416000001E8","9.51402414528E7","14961996","1318872.24"
"17","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","75360000","75360000","75360000","75360000","0","407216.04285850946","15759.110883844653","0","60706.2102685589","0","3449908.5953973597","1724954.2976986798","1724954.2976986798","2439453.7622792306","0","0","0","0","-7893977.864641553","-7893977.864641553","-7893977.864641553","-7893977.864641553","0","1","0.5109929078014195","0.45","0.23963140427317664","0","1","0.5109929078014195","0.45","0.23963140427317664","0","0","0","0","0","0","0","957976320","9.661875455999999E7","1.46925576E7","1295121.744"
"18","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","75660000","75660000","75660000","75660000","0","555998.5830686666","15782.112239479638","0","66373.03058192969","0","3427057.8764626756","1713528.9382313378","1713528.9382313378","2423295.863965527","0","0","0","0","-7877613.527995935","-7877613.527995935","-7877613.527995935","-7877613.527995935","0","1","0.510992907801419","0.45","0.25281984066849417","0","1","0.510992907801419","0.45","0.25281984066849417","0","0","0","0","0","0","0","961789920","9.700338336E7","1.46313216E7","1289723.9039999999"
"19","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","80517600","80517600","80517600","80517600","0","496245.6249716599","15742.13784025222","0","64292.168501467255","0","3111005.98947716","1555502.99473858","1555502.99473858","2199813.431471265","0","0","0","0","-7550288.860428287","-7550288.860428287","-7550288.860428287","-7550288.860428287","0","1","0.47234042553191585","0.45","0.24570513908064","0","1","0.47234042553191585","0.45","0.24570513908064","0","0","0","0","0","0","0","1.0235397311999999E9","1.032312928896E8","1.43210592E7","1262374.848"
"20","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","74594400","74594400","74594400","74594400","0","497638.0113293454","15652.462016600353","0","61020.412147862386","0","3437194.216559628","1718597.108279814","1718597.108279814","2430463.3387844954","0","0","0","0","-7851188.505240928","-7851188.505240928","-7851188.505240928","-7851188.505240928","0","1","0.5101063829787247","0.45","0.27268075273632564","0","1","0.5101063829787247","0.45","0.27268075273632564","0","0","0","0","0","0","0","9.482440128000001E8","9.56371818624E7","1.45047672E7","1278568.368"
