"BehaviorSpace results (NetLogo 6.2.2)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_baseline"
"01/26/2023 08:18:54:555 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"11","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","52831200","2880000","2880000","2880000","0","314656.81946784037","11408.705998572861","0","47962.47541966632","0","1327975.0572617922","663987.5286308961","663987.5286308961","939020.1682364071","943616.7228701637","943616.7228701637","943616.7228701637","943616.7228701637","-5488846.871729502","-5488846.871729502","-5488846.871729502","-5488846.871729502","0","1","0.5060283687943274","0.45","0.2569306355916218","0","1","0.5060283687943274","0.45","0.2569306355916218","0","0","0","0","0","0","0","1.916944176E8","1.8720262876799997E7","1.6483823999999998E7","1266746.04"
"12","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","52672800","2821200","2821200","2821200","0","398779.41725525045","11778.738725599123","0","47395.673388791714","0","1224766.9824131113","612383.4912065556","612383.4912065556","866041.038637696","739118.4605824506","739118.4605824506","739118.4605824506","739118.4605824506","-5285489.763614516","-5285489.763614516","-5285489.763614516","-5285489.763614516","0","1","0.514007092198583","0.45","0.2643542591424354","0","1","0.514007092198583","0.45","0.2643542591424354","0","0","0","0","0","0","0","1.9070516976E8","1.863301555392E7","1.64467296E7","1263895.416"
"13","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","56271600","3103200","3103200","3103200","0","646246.8488371482","12534.547712614036","0","56114.719413659746","0","1499639.7834430195","749819.8917215097","749819.8917215097","1060405.4602096847","946788.8421489818","946788.8421489818","946788.8421489818","946788.8421489818","-5981171.080549158","-5981171.080549158","-5981171.080549158","-5981171.080549158","0","1","0.48936170212766067","0.45","0.25318670130294263","0","1","0.48936170212766067","0.45","0.25318670130294263","0","0","0","0","0","0","0","2.0447226576000002E8","1.9961454784319997E7","1.7995420799999997E7","1382908.9679999999"
"14","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","52345200","2857200","2857200","2857200","0","247081.86875040154","11051.57195778558","0","39609.07283733101","0","1423891.7337620566","711945.8668810283","711945.8668810283","1006843.5006186203","858069.7602469781","858069.7602469781","858069.7602469781","858069.7602469781","-5398504.786104567","-5398504.786104567","-5398504.786104567","-5398504.786104567","0","1","0.51258865248227","0.45","0.2700521254790598","0","1","0.51258865248227","0.45","0.2700521254790598","0","0","0","0","0","0","0","1.8996151776E8","1.8550344333119996E7","1.62009792E7","1245010.032"
"15","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","49969200","2704800","2704800","2704800","0","220578.60890355977","11642.567464289054","0","41115.45971843578","0","1318610.791718332","659305.395859166","659305.395859166","932398.6325697949","663385.7377034485","663385.7377034485","663385.7377034485","663385.7377034485","-5265200.554351293","-5265200.554351293","-5265200.554351293","-5265200.554351293","0","1","0.4996453900709228","0.45","0.2656487696604094","0","1","0.4996453900709228","0.45","0.2656487696604094","0","0","0","0","0","0","0","1.8115133904000002E8","1.769423863968E7","1.6391087999999998E7","1259619.48"
"16","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","52644000","2826000","2826000","2826000","0","351828.9484118068","11397.107962646256","0","47520.07506498076","0","1280160.7093212837","640080.3546606419","640080.3546606419","905210.3185696604","809254.5934426921","809254.5934426921","809254.5934426921","809254.5934426921","-5303399.748230218","-5303399.748230218","-5303399.748230218","-5303399.748230218","0","1","0.4767730496453909","0.45","0.2636680990558125","0","1","0.4767730496453909","0.45","0.2636680990558125","0","0","0","0","0","0","0","1.906533048E8","1.8626762121600002E7","1.64467296E7","1263895.416"
"17","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","50748000","2788800","2788800","2788800","0","259581.39257599687","11137.773887141724","0","42867.08132337231","0","1153137.9552478231","576568.9776239116","576568.9776239116","815391.6677993253","886351.1427518546","886351.1427518546","886351.1427518546","886351.1427518546","-5180341.334173644","-5180341.334173644","-5180341.334173644","-5180341.334173644","0","1","0.501063829787235","0.45","0.2553323202730668","0","1","0.501063829787235","0.45","0.2553323202730668","0","0","0","0","0","0","0","1.8432044064000002E8","1.7995971761279996E7","1.61917056E7","1244297.376"
"18","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","54555600","3003600","3003600","3003600","0","417029.3121327393","11568.107933206618","0","51744.75110373323","0","1565260.0652958392","782630.0326479196","782630.0326479196","1106806.006491186","571714.5338303666","571714.5338303666","571714.5338303666","571714.5338303666","-5399181.036290472","-5399181.036290472","-5399181.036290472","-5399181.036290472","0","1","0.490602836879434","0.45","0.25542231805642684","0","1","0.490602836879434","0.45","0.25542231805642684","0","0","0","0","0","0","0","1.9819584288E8","1.934964917856E7","1.71283392E7","1316275.632"
"19","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","54642000","2985600","2985600","2985600","0","1367621.2503980838","12584.861667505664","0","85666.55144733012","0","1412812.6867259876","706406.3433629938","706406.3433629938","999009.4313303313","749900.4178646051","749900.4178646051","749900.4178646051","749900.4178646051","-5711644.094827189","-5711644.094827189","-5711644.094827189","-5711644.094827189","0","1","0.4953900709219869","0.45","0.26574281235998004","0","1","0.4953900709219869","0.45","0.26574281235998004","0","0","0","0","0","0","0","1.9832169168E8","1.936617623136E7","1.7786764799999997E7","1366874.2079999999"
"20","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","50467200","2782800","2782800","2782800","0","315639.4571412089","11526.107119473902","0","47481.68103792547","0","1431121.1247116185","715560.5623558093","715560.5623558093","1011955.4519829042","689973.2718445157","689973.2718445157","689973.2718445157","689973.2718445157","-5371456.604247776","-5371456.604247776","-5371456.604247776","-5371456.604247776","0","1","0.5179078014184406","0.45","0.26872617400194865","0","1","0.5179078014184406","0.45","0.26872617400194865","0","0","0","0","0","0","0","1.8337848144E8","1.7902246548479997E7","1.6775942399999999E7","1289194.704"
